id,label,obsolete,ordering
"documentCreated","Creación","0","0"
"documentSecurityUpdated","Permisos modificados","0","10"
"documentModified","Modificación","0","30"
"documentRemoved","Documento eliminado permanentemente","0","40"
"documentCreatedByCopy","Documento creado mediante copia","0","50"
"documentDuplicated","Documento duplicado","0","60"
"documentImported","Documento importado","0","70"
"documentLocked","Documento bloqueado","0","80"
"documentUnlocked","Documento desbloqueado","0","90"
"documentPublished","Documento publicado","0","100"
"documentProxyPublished","Documento proxy publicado","0","110"
"documentProxyUpdated","Documento proxy modificado","0","120"
"documentRestored","Documento restaurado","0","130"
"documentCheckedOut","Versión elimininada","0","140"
"documentCheckedIn","Versión creada","0","150"
"loginSuccess","Conexión","0","200"
"loginFailed","Conexión fallida","0","210"
"logout","Desconexión","0","220"
"workflowStarted","Flujo de trabajo iniciado","0","230"
"workflowTaskAssigned","Tarea asignada","0","240"
"workflowTaskEnded","Tarea finalizada","0","250"
"workflowNewProcessStarted","Nuevo flujo de trabajo iniciado","0","260"
"workflowAbandoned","Flujo de trabajo abandonado","0","270"
"workflowTaskCompleted","Tarea completada","0","280"
"workflowTaskRejected","Tarea rechazada","0","290"
"workflowProcessEnded","Flujo de trabajo finalizado","0","300"
"workflowEnded","Flujo de trabajo finalizado","0","310"
"afterRelationCreation","Relación creada","0","320"
"documentPublicationApproved","Publicación aprobada","0","330"
"Cancelation event","Cancelation event","0","340"
"documentMoved","Documento movido","0","350"
"afterRelationRemoval","Relación eliminada","0","360"
"versionRemoved","Versión eliminada","0","370"
"annotationDeleted","Anotación eliminada","0","380"
"lifecycle_transition_event","Ciclo de vida cambiado","0","390"
"annotationCreated","Anotación creada","0","400"
"documentWaitingPublication","Documento esperando para publicación","0","410"
"documentAccessed","Documento accedido","0","420"
"documentCreatedWithSize","Documento creado","0","430"
"documentModifiedWithSize","Documento modificado","0","440"
"documentDownloaded","Documento descargado","0","450"
"attachedDocumentDownloaded","Documento adjunto descargado","0","460"


